BINS,LR,LDA,PER,SGD,KNN,DT,RF,EXT,ADA,BAG,BNB,GNB,MLP
2,0.73847338319401667,0.73807743070831511,0.57844258688957328,0.62595688517377923,0.75730312362516494,0.74113506379234495,0.78194016717993842,0.77864056313242413,0.8035855697316322,0.77756269247690279,0.80136383633963937,0.40512538495380557,0.71421029476462827
3,0.59551253849538044,0.61808183018037843,0.36088869335679719,0.44722833260008799,0.61680598328200609,0.62285525736911573,0.69054113506379233,0.67771667399912006,0.69340079190497139,0.68774747030356354,0.67721073471183457,0.23284205895292565,0.50578530576330838
4,0.66179058512978439,0.66104267487901458,0.41476022877254726,0.40778706555213373,0.65840299164100302,0.62833260008798941,0.70450945886493621,0.69441267047954247,0.72641882974043115,0.69494060712714467,0.72556093268807742,0.24139903211614605,0.5183457985041795
5,0.44797624285085791,0.46038275406951168,0.31150461944566654,0.38523977122745279,0.50809502859656841,0.52230532336119662,0.58040035195776507,0.56445226572811258,0.5943246810382754,0.57355917289925207,0.51790585129784428,0.18365596128464587,0.35736911570611529
6,0.43614166300043999,0.45158380994280689,0.29806423229212486,0.24397272327320726,0.44898812142542893,0.46423229212494499,0.52674879014518261,0.51130664320281571,0.5259128904531456,0.52109546854377464,0.50961284645842508,0.17754069511658602,0.32760668719753627
7,0.43935327760668719,0.44029916410030789,0.28878134623845142,0.28647162340519139,0.42201935767707877,0.42938847338319402,0.48930928288605369,0.47743070831500223,0.50224373075230966,0.48468983721953363,0.50312362516498021,0.16581610206775188,0.30142982842058957
8,0.34872415310162774,0.3634403871535416,0.21447426308842937,0.2316542014958205,0.37657281126264847,0.39784425868895734,0.44428068631764184,0.43627364716234052,0.46040475142982845,0.44007919049714034,0.41033875934887815,0.15030796304443467,0.26291245050593931
9,0.33759348878134621,0.34465464144302688,0.2381874175098988,0.14714034315882094,0.33873735151781786,0.35963484381874172,0.40490541135063796,0.39307083150021999,0.41830180378354598,0.39797624285085786,0.4059832820061593,0.14705235371755387,0.26860976682798066
10,0.30299164100307963,0.30589529256489223,0.22872855257369115,0.18673559172899251,0.31498020237571495,0.33803343598768143,0.38073031236251648,0.36891772987241528,0.39480862296524422,0.37578090629124505,0.37307523097228334,0.13763748350197977,0.21517817861856581
